SYMBOL	ALIAS	HGNC	ENTREZ
A1BG	A1BG	5	1
A1BG-AS1	FLJ23569	37133	503538
A1BG-AS1	NCRNA00181	37133	503538
A1BG-AS1	A1BGAS	37133	503538
A1BG-AS1	A1BG-AS	37133	503538
A1BG-AS1	A1BG-AS1	37133	503538
A1CF	ACF	24086	29974
A1CF	ACF64	24086	29974
A1CF	ACF65	24086	29974
A1CF	APOBEC1CF	24086	29974
A1CF	A1CF	24086	29974
A2M	FWP007	7	2
A2M	S863-7	7	2
A2M	CPAMD5	7	2
A2M	A2M	7	2
A2M-AS1	A2M-AS1	27057	144571
A2ML1	FLJ25179	23336	144568
A2ML1	p170	23336	144568
A2ML1	CPAMD9	23336	144568
A2ML1	A2ML1	23336	144568
A2ML1-AS1	A2ML1-AS1	41022	100874108
A2ML1-AS2	A2ML1-AS2	41523	106478979
A2MP1	A2MP	8	3
A2MP1	A2MP1	8	3
A3GALT2	IGBS3S	30005	127550
A3GALT2	IGB3S	30005	127550
A3GALT2	A3GALT2P	30005	127550
A3GALT2	A3GALT2	30005	127550
A4GALT	A14GALT	18149	53947
A4GALT	Gb3S	18149	53947
A4GALT	P(k)	18149	53947
A4GALT	A4GALT	18149	53947
A4GNT	alpha4GnT	17968	51146
A4GNT	A4GNT	17968	51146
AAAS	AAAS	13666	8086
AACS	FLJ12389	21298	65985
AACS	SUR-5	21298	65985
AACS	ACSF1	21298	65985
AACS	AACS	21298	65985
AACSP1	AACSL	18226	729522
AACSP1	AACSP1	18226	729522
AADAC	DAC	17	13
AADAC	CES5A1	17	13
AADAC	AADAC	17	13
AADACL2	MGC72001	24427	344752
AADACL2	AADACL2	24427	344752
AADACL2-AS1	AADACL2-AS1	50301	101928142
AADACL3	OTTHUMG00000001887	32037	126767
AADACL3	AADACL3	32037	126767
AADACL4	OTTHUMG00000001889	32038	343066
AADACL4	AADACL4	32038	343066
AADACP1	AADACP1	50305	201651
AADAT	KATII	17929	51166
AADAT	KAT2	17929	51166
AADAT	KYAT2	17929	51166
AADAT	AADAT	17929	51166
AAGAB	FLJ11506	25662	79719
AAGAB	AAGAB	25662	79719
AAK1	KIAA1048	19679	22848
AAK1	DKFZp686K16132	19679	22848
AAK1	AAK1	19679	22848
AAMDC	PTD015	30205	28971
AAMDC	FLJ21035	30205	28971
AAMDC	CK067	30205	28971
AAMDC	C11orf67	30205	28971
AAMDC	AAMDC	30205	28971
AAMP	AAMP	18	14
AANAT	SNAT	19	15
AANAT	AANAT	19	15
AAR2	bA234K24.2	15886	25980
AAR2	C20orf4	15886	25980
AAR2	AAR2	15886	25980
AARD	LOC441376	33842	441376
AARD	C8orf85	33842	441376
AARD	AARD	33842	441376
AARS1	CMT2N	20	16
AARS1	AlaRS	20	16
AARS1	AARS	20	16
AARS1	AARS1	20	16
AARS1P1	AARSP1	49894	106480683
AARS1P1	AARS1P1	49894	106480683
AARS2	KIAA1270	21022	57505
AARS2	bA444E17.1	21022	57505
AARS2	AARSL	21022	57505
AARS2	AARS2	21022	57505
AARSD1	MGC2744	28417	80755
AARSD1	AlaXp	28417	80755
AARSD1	AARSD1	28417	80755
AARSD1P1	AARSD1P1	54994	117981788
AASDH	NRPS998	23993	132949
AASDH	LYS2	23993	132949
AASDH	ACSF4	23993	132949
AASDH	AASDH	23993	132949
AASDHPPT	LYS5	14235	60496
AASDHPPT	CGI-80	14235	60496
AASDHPPT	AASD-PPT	14235	60496
AASDHPPT	ACPS	14235	60496
AASDHPPT	AASDHPPT	14235	60496
AASS	LORSDH	17366	10157
AASS	LKRSDH	17366	10157
AASS	AASS	17366	10157
AATBC	AATBC	51526	284837
AATF	DED	19235	26574
AATF	CHE-1	19235	26574
AATF	BFR2	19235	26574
AATF	AATF	19235	26574
AATK	AATYK	21	9625
AATK	KIAA0641	21	9625
AATK	LMTK1	21	9625
AATK	LMR1	21	9625
AATK	AATYK1	21	9625
AATK	PPP1R77	21	9625
AATK	AATK	21	9625
AAVS1	AAV	22	17
AAVS1	AAVS1	22	17
ABALON	INXS	49667	103021294
ABALON	ABALON	49667	103021294
ABAT	GABAT	23	18
ABAT	GABA-T	23	18
ABAT	ABAT	23	18
ABCA1	TGD	29	19
ABCA1	HDLDT1	29	19
ABCA1	ABCA1	29	19
ABCA10	EST698739	30	10349
ABCA10	ABCA10	30	10349
ABCA11P	EST1133530	31	79963
ABCA11P	FLJ14297	31	79963
ABCA11P	ABCA11	31	79963
ABCA11P	ABCA11P	31	79963
ABCA12	DKFZP434G232	14637	26154
ABCA12	LI2	14637	26154
ABCA12	ICR2B	14637	26154
ABCA12	ABCA12	14637	26154
ABCA13	FLJ33876	14638	154664
ABCA13	FLJ33951	14638	154664
ABCA13	ABCA13	14638	154664
ABCA17P	ABCA17P	32972	650655
ABCA2	ABC2	32	20
ABCA2	ABCA2	32	20
ABCA3	ABC-C	33	21
ABCA3	EST111653	33	21
ABCA3	LBM180	33	21
ABCA3	ABC3	33	21
ABCA3	ABCA3	33	21
ABCA4	FFM	34	24
ABCA4	ARMD2	34	24
ABCA4	CORD3	34	24
ABCA4	STGD1	34	24
ABCA4	ABCR	34	24
ABCA4	RP19	34	24
ABCA4	STGD	34	24
ABCA4	ABCA4	34	24
ABCA5	EST90625	35	23461
ABCA5	ABCA5	35	23461
ABCA6	EST155051	36	23460
ABCA6	ABCA6	36	23460
ABCA7	ABCX	37	10347
ABCA7	ABCA7	37	10347
ABCA8	KIAA0822	38	10351
ABCA8	ABCA8	38	10351
ABCA9	EST640918	39	10350
ABCA9	ABCA9	39	10350
ABCA9-AS1	ABCA9-AS1	39983	104355297
ABCB1	P-gp	40	5243
ABCB1	CD243	40	5243
ABCB1	GP170	40	5243
ABCB1	ABC20	40	5243
ABCB1	p-170	40	5243
ABCB1	PGY1	40	5243
ABCB1	CLCS	40	5243
ABCB1	ABCB1	40	5243
ABCB10	EST20237	41	23456
ABCB10	MTABC2	41	23456
ABCB10	ABCB10	41	23456
ABCB10P1	MABC2	14114	56476
ABCB10P1	ABCB10P	14114	56476
ABCB10P1	ABCB10P2	14114	56476
ABCB10P1	ABCB10P1	14114	56476
ABCB10P3	ABCB10P3	31129	728248
ABCB10P4	ABCB10P4	31130	100132289
ABCB11	ABC16	42	8647
ABCB11	SPGP	42	8647
ABCB11	PFIC-2	42	8647
ABCB11	PGY4	42	8647
ABCB11	BSEP	42	8647
ABCB11	PFIC2	42	8647
ABCB11	ABCB11	42	8647
ABCB4	MDR2	45	5244
ABCB4	PFIC-3	45	5244
ABCB4	GBD1	45	5244
ABCB4	PGY3	45	5244
ABCB4	MDR3	45	5244
ABCB4	ABCB4	45	5244
ABCB5	EST422562	46	340273
ABCB5	ABCB5beta	46	340273
ABCB5	ABCB5alpha	46	340273
ABCB5	ABCB5	46	340273
ABCB6	EST45597	47	10058
ABCB6	umat	47	10058
ABCB6	MTABC3	47	10058
ABCB6	ABCB6	47	10058
ABCB7	EST140535	48	22
ABCB7	Atm1p	48	22
ABCB7	ASAT	48	22
ABCB7	ABC7	48	22
ABCB7	ABCB7	48	22
ABCB8	EST328128	49	11194
ABCB8	MABC1	49	11194
ABCB8	MITOSUR	49	11194
ABCB8	ABCB8	49	11194
ABCB9	EST122234	50	23457
ABCB9	ABCB9	50	23457
ABCC1	GS-X	51	4363
ABCC1	ABCC1	51	4363
ABCC10	EST182763	52	89845
ABCC10	SIMRP7	52	89845
ABCC10	ABCC10	52	89845
ABCC11	ABCC11	14639	85320
ABCC12	MRP9	14640	94160
ABCC12	ABCC12	14640	94160
ABCC13	PRED6	16022	150000
ABCC13	C21orf73	16022	150000
ABCC13	ABCC13P	16022	150000
ABCC13	ABCC13	16022	150000
ABCC2	DJS	53	1244
ABCC2	cMRP	53	1244
ABCC2	CMOAT	53	1244
ABCC2	ABCC2	53	1244
ABCC3	MRP3	54	8714
ABCC3	cMOAT2	54	8714
ABCC3	EST90757	54	8714
ABCC3	MLP2	54	8714
ABCC3	MOAT-D	54	8714
ABCC3	ABCC3	54	8714
ABCC4	MRP4	55	10257
ABCC4	EST170205	55	10257
ABCC4	MOAT-B	55	10257
ABCC4	MOATB	55	10257
ABCC4	ABCC4	55	10257
ABCC5	MRP5	56	10057
ABCC5	SMRP	56	10057
ABCC5	EST277145	56	10057
ABCC5	MOAT-C	56	10057
ABCC5	ABCC5	56	10057
ABCC5-AS1	ABCC5-AS1	40055	100873982
ABCC6	EST349056	57	368
ABCC6	URG7	57	368
ABCC6	PXE	57	368
ABCC6	ABCC6	57	368
ABCC6P1	ABCC6P1	33352	653190
ABCC6P2	ABCC6P2	33353	730013
ABCC8	PHHI	59	6833
ABCC8	SUR1	59	6833
ABCC8	ABC36	59	6833
ABCC8	HHF1	59	6833
ABCC8	TNDM2	59	6833
ABCC8	SUR	59	6833
ABCC8	HRINS	59	6833
ABCC8	ABCC8	59	6833
ABCC9	SUR2	60	10060
ABCC9	CMD1O	60	10060
ABCC9	ABCC9	60	10060
ABCD1	ALDP	61	215
ABCD1	adrenoleukodystrophy	61	215
ABCD1	ALD	61	215
ABCD1	ABCD1	61	215
ABCD1P1	ABCD1P1	62	23785
ABCD1P2	bA453N3.6	63	26983
ABCD1P2	ABCD1P2	63	26983
ABCD1P3	ABCD1P3	64	26982
ABCD1P4	ABCD1P4	65	26957
ABCD1P5	ABCD1P5	42662	642762
ABCD2	ALDR	66	225
ABCD2	ALDL1	66	225
ABCD2	ABCD2	66	225
ABCD3	PMP70	67	5825
ABCD3	ZWS2	67	5825
ABCD3	ABCD3	67	5825
ABCD4	PMP69	68	5826
ABCD4	P70R	68	5826
ABCD4	EST352188	68	5826
ABCD4	PXMP1L	68	5826
ABCD4	ABCD4	68	5826
ABCE1	RLI	69	6059
ABCE1	OABP	69	6059
ABCE1	RLI1	69	6059
ABCE1	RNASEL1	69	6059
ABCE1	RNASELI	69	6059
ABCE1	RNS4I	69	6059
ABCE1	ABCE1	69	6059
ABCF1	EST123147	70	23
ABCF1	ABC50	70	23
ABCF1	ABCF1	70	23
ABCF1-DT	ABCF1-DT	53628	107986587
ABCF2	EST133090	71	10061
ABCF2	ABC28	71	10061
ABCF2	HUSSY-18	71	10061
ABCF2	ABCF2	71	10061
ABCF2-H2BE1	ABCF2-H2BE1	54751	114483834
ABCF2P1	ABCF2P1	48841	344653
ABCF2P2	ABCF2P2	48842	100422059
ABCF3	EST201864	72	55324
ABCF3	ABCF3	72	55324
ABCG1	ABC8	73	9619
ABCG1	ABCG1	73	9619
ABCG2	EST157481	74	9429
ABCG2	MXR	74	9429
ABCG2	BCRP	74	9429
ABCG2	ABCP	74	9429
ABCG2	CD338	74	9429
ABCG2	ABCG2	74	9429
ABCG4	WHITE2	13884	64137
ABCG4	ABCG4	13884	64137
ABCG5	STSL	13886	64240
ABCG5	ABCG5	13886	64240
ABCG8	GBD4	13887	64241
ABCG8	ABCG8	13887	64241
ABHD1	LABH1	17553	84696
ABHD1	FLJ36128	17553	84696
ABHD1	ABHD1	17553	84696
ABHD10	FLJ11342	25656	55347
ABHD10	ABHD10	25656	55347
ABHD11	PP1226	16407	83451
ABHD11	WBSCR21	16407	83451
ABHD11	ABHD11	16407	83451
ABHD11-AS1	NCRNA00035	18289	171022
ABHD11-AS1	WBSCR26	18289	171022
ABHD11-AS1	LINC00035	18289	171022
ABHD11-AS1	ABHD11-AS1	18289	171022
ABHD12	DKFZP434P106	15868	26090
ABHD12	dJ965G21.2	15868	26090
ABHD12	BEM46L2	15868	26090
ABHD12	ABHD12A	15868	26090
ABHD12	C20orf22	15868	26090
ABHD12	ABHD12	15868	26090
ABHD12B	BEM46L3	19837	145447
ABHD12B	C14orf29	19837	145447
ABHD12B	ABHD12B	19837	145447
ABHD13	bA153I24.2	20293	84945
ABHD13	FLJ14906	20293	84945
ABHD13	BEM46L1	20293	84945
ABHD13	C13orf6	20293	84945
ABHD13	ABHD13	20293	84945
ABHD14A	DKFZP564O243	24538	25864
ABHD14A	DORZ1	24538	25864
ABHD14A	ABHD14A	24538	25864
ABHD14A-ACY1	ABHD14A-ACY1	38856	100526760
ABHD14B	MGC15429	28235	84836
ABHD14B	ABHD14B	28235	84836
ABHD15	ABHD15	26971	116236
ABHD15-AS1	linc-TP53I13	49685	104355133
ABHD15-AS1	lnc-TP53I13	49685	104355133
ABHD15-AS1	ABHD15-AS1	49685	104355133
ABHD16A	NG26	13921	7920
ABHD16A	D6S82E	13921	7920
ABHD16A	BAT5	13921	7920
ABHD16A	ABHD16A	13921	7920
ABHD16B	dJ591C20.1	16128	140701
ABHD16B	C20orf135	16128	140701
ABHD16B	ABHD16B	16128	140701
ABHD17A	MGC5244	28756	81926
ABHD17A	C19orf27	28756	81926
ABHD17A	FAM108A1	28756	81926
ABHD17A	ABHD17A	28756	81926
ABHD17AP1	C1orf47	28394	728917
ABHD17AP1	FAM108A2	28394	728917
ABHD17AP1	ABHD17AP2	28394	728917
ABHD17AP1	FAM108A3	28394	728917
ABHD17AP1	FAM108A11P	28394	728917
ABHD17AP1	FAM108A3P	28394	728917
ABHD17AP1	ABHD17AP1	28394	728917
ABHD17AP3	FAM108A4	34041	648359
ABHD17AP3	FAM108A4P	34041	648359
ABHD17AP3	ABHD17AP3	34041	648359
ABHD17AP4	FAM108A5	34042	729495
ABHD17AP4	FAM108A5P	34042	729495
ABHD17AP4	ABHD17AP4	34042	729495
ABHD17AP5	FAM108A6	34043	91219
ABHD17AP5	FAM108A6P	34043	91219
ABHD17AP5	ABHD17AP5	34043	91219
ABHD17AP6	FAM108A7P	34044	644988
ABHD17AP6	ABHD17AP6	34044	644988
ABHD17AP7	FAM108A8P	38508	100133212
ABHD17AP7	ABHD17AP7	38508	100133212
ABHD17AP8	FAM108A9P	38509	647144
ABHD17AP8	ABHD17AP8	38509	647144
ABHD17AP9	FAM108A10P	38510	100132251
ABHD17AP9	ABHD17AP9	38510	100132251
ABHD17B	CGI-67	24278	51104
ABHD17B	C9orf77	24278	51104
ABHD17B	FAM108B1	24278	51104
ABHD17B	ABHD17B	24278	51104
ABHD17C	FAM108C1	26925	58489
ABHD17C	ABHD17C	26925	58489
ABHD18	FLJ21106	26111	80167
ABHD18	C4orf29	26111	80167
ABHD18	ABHD18	26111	80167
ABHD2	LABH2	18717	11057
ABHD2	ABHD2	18717	11057
ABHD3	LABH3	18718	171586
ABHD3	ABHD3	18718	171586
ABHD4	FLJ12816	20154	63874
ABHD4	ABHD4	20154	63874
ABHD5	CGI-58	21396	51099
ABHD5	NCIE2	21396	51099
ABHD5	ABHD5	21396	51099
ABHD6	ABHD6	21398	57406
ABHD8	FLJ11743	23759	79575
ABHD8	MGC14280	23759	79575
ABHD8	MGC2512	23759	79575
ABHD8	ABHD8	23759	79575
ABI1	E3B1	11320	10006
ABI1	ABI-1	11320	10006
ABI1	SSH3BP1	11320	10006
ABI1	ABI1	11320	10006
ABI1P1	SSH3BP1P	20035	326268
ABI1P1	ABI1P	20035	326268
ABI1P1	ABI1P1	20035	326268
ABI2	ABI-2	24011	10152
ABI2	AIP-1	24011	10152
ABI2	ABI2B	24011	10152
ABI2	AblBP3	24011	10152
ABI2	argBPIA	24011	10152
ABI2	SSH3BP2	24011	10152
ABI2	ABI2	24011	10152
ABI3	NESH	29859	51225
ABI3	SSH3BP3	29859	51225
ABI3	ABI3	29859	51225
ABI3BP	NESHBP	17265	25890
ABI3BP	DKFZP586L2024	17265	25890
ABI3BP	TARSH	17265	25890
ABI3BP	ABI3BP	17265	25890
ABITRAM	CG-8	1364	54942
ABITRAM	FLJ20457	1364	54942
ABITRAM	Simiate	1364	54942
ABITRAM	C9orf6	1364	54942
ABITRAM	FAM206A	1364	54942
ABITRAM	ABITRAM	1364	54942
ABITRAMP1	FAM206BP	39851	390403
ABITRAMP1	ABITRAMP1	39851	390403
ABL1	JTK7	76	25
ABL1	c-ABL	76	25
ABL1	ABL1	76	25
ABL2	ABLL	77	27
ABL2	ABL2	77	27
ABLIM1	abLIM	78	3983
ABLIM1	limatin	78	3983
ABLIM1	LIMAB1	78	3983
ABLIM1	ABLIM	78	3983
ABLIM1	ABLIM1	78	3983
ABLIM2	KIAA1808	19195	84448
ABLIM2	ABLIM2	19195	84448
ABLIM3	KIAA0843	29132	22885
ABLIM3	ABLIM3	29132	22885
ABO	A3GALT1	79	28
ABO	ABO	79	28
ABR	MDB	81	29
ABR	ABR	81	29
ABRA	STARS	30655	137735
ABRA	ABRA	30655	137735
ABRACL	PRO2013	21230	58527
ABRACL	HSPC280	21230	58527
ABRACL	Costars	21230	58527
ABRACL	C6orf115	21230	58527
ABRACL	ABRACL	21230	58527
ABRAXAS1	FLJ13614	25829	84142
ABRAXAS1	ABRA1	25829	84142
ABRAXAS1	ABRAXAS	25829	84142
ABRAXAS1	CCDC98	25829	84142
ABRAXAS1	FAM175A	25829	84142
ABRAXAS1	ABRAXAS1	25829	84142
ABRAXAS2	Em:AC068896.4	28975	23172
ABRAXAS2	ABRO1	28975	23172
ABRAXAS2	KIAA0157	28975	23172
ABRAXAS2	FAM175B	28975	23172
ABRAXAS2	ABRAXAS2	28975	23172
ABT1	Esf2	17369	29777
ABT1	ABT1	17369	29777
ABT1P1	ABT1P1	39557	100420695
ABTB1	BPOZ	18275	80325
ABTB1	EF1ABP	18275	80325
ABTB1	Btb3	18275	80325
ABTB1	BTBD21	18275	80325
ABTB1	ABTB1	18275	80325
ABTB2	DKFZP586C1619	23842	25841
ABTB2	BTBD22	23842	25841
ABTB2	ABTB2A	23842	25841
ABTB2	ABTB2	23842	25841
ACAA1	ACAA1	82	30
ACAA2	DSAEC	83	10449
ACAA2	ACAA2	83	10449
ACACA	ACAC	84	31
ACACA	ACC	84	31
ACACA	ACACA	84	31
ACACB	HACC275	85	32
ACACB	ACCB	85	32
ACACB	ACACB	85	32
ACAD10	MGC5601	21597	80724
ACAD10	ACAD10	21597	80724
ACAD11	FLJ12592	30211	84129
ACAD11	ACAD11	30211	84129
ACAD8	ACAD8	87	27034
ACAD9	NPD002	21497	28976
ACAD9	MGC14452	21497	28976
ACAD9	ACAD9	21497	28976
ACADL	LCAD	88	33
ACADL	ACAD4	88	33
ACADL	ACADL	88	33
ACADM	MCAD	89	34
ACADM	MCADH	89	34
ACADM	ACAD1	89	34
ACADM	ACADM	89	34
ACADS	SCAD	90	35
ACADS	ACAD3	90	35
ACADS	ACADS	90	35
ACADSB	SBCAD	91	36
ACADSB	ACAD7	91	36
ACADSB	ACADSB	91	36
ACADVL	VLCAD	92	37
ACADVL	LCACD	92	37
ACADVL	ACAD6	92	37
ACADVL	ACADVL	92	37
ACAN	CSPGCP	319	176
ACAN	CSPG1	319	176
ACAN	AGC1	319	176
ACAN	ACAN	319	176
ACAP1	KIAA0050	16467	9744
ACAP1	CENTB1	16467	9744
ACAP1	ACAP1	16467	9744
ACAP2	KIAA0041	16469	23527
ACAP2	CNT-B2	16469	23527
ACAP2	CENTB2	16469	23527
ACAP2	ACAP2	16469	23527
ACAP2-IT1	ACAP2-IT1	41426	100874306
ACAP3	KIAA1716	16754	116983
ACAP3	CENTB5	16754	116983
ACAP3	ACAP3	16754	116983
ACAT1	THIL	93	38
ACAT1	ACAT1	93	38
ACAT2	ACAT2	94	39
ACBD3	GCP60	15453	64746
ACBD3	PAP7	15453	64746
ACBD3	GOLPH1	15453	64746
ACBD3	GOCAP1	15453	64746
ACBD3	ACBD3	15453	64746
ACBD3-AS1	RP11-275I14.4	40701	107985353
ACBD3-AS1	ACBD3-AS1	40701	107985353
ACBD4	FLJ13322	23337	79777
ACBD4	ACBD4	23337	79777
ACBD5	DKFZp434A2417	23338	91452
ACBD5	KIAA1996	23338	91452
ACBD5	ACBD5	23338	91452
ACBD6	MGC2404	23339	84320
ACBD6	ACBD6	23339	84320
ACBD7	FLJ38219	17715	414149
ACBD7	bA455B2.2	17715	414149
ACBD7	ACBD7	17715	414149
ACCS	PHACS	23989	84680
ACCS	ACCS	23989	84680
ACCSL	ACCSL	34391	390110
ACD	Ptop	25070	65057
ACD	Pip1	25070	65057
ACD	Tpp1	25070	65057
ACD	Tint1	25070	65057
ACD	ACD	25070	65057
ACE	ACE1	2707	1636
ACE	CD143	2707	1636
ACE	DCP1	2707	1636
ACE	ACE	2707	1636
ACE2	ACEH	13557	59272
ACE2	ACE2	13557	59272
ACE3P	ACE3P	44365	100129123
ACER1	ASAH3	18356	125981
ACER1	ACER1	18356	125981
ACER2	FLJ41587	23675	340485
ACER2	ALKCDase2	23675	340485
ACER2	ASAH3L	23675	340485
ACER2	ACER2	23675	340485
ACER2P1	ACER2P1	54674	645978
ACER3	FLJ11238	16066	55331
ACER3	APHC	16066	55331
ACER3	PHCA	16066	55331
ACER3	ACER3	16066	55331
ACHE	YT	108	43
ACHE	ACHE	108	43
ACIN1	KIAA0670	17066	22985
ACIN1	fSAP152	17066	22985
ACIN1	ACINUS	17066	22985
ACIN1	ACIN1	17066	22985
ACKR1	CCBP1	4035	2532
ACKR1	GPD	4035	2532
ACKR1	Dfy	4035	2532
ACKR1	CD234	4035	2532
ACKR1	FY	4035	2532
ACKR1	DARC	4035	2532
ACKR1	ACKR1	4035	2532
ACKR2	D6	1565	1238
ACKR2	CMKBR9	1565	1238
ACKR2	ACKR2	1565	1238
ACKR3	GPR159	23692	57007
ACKR3	CMKOR1	23692	57007
ACKR3	CXCR7	23692	57007
ACKR3	ACKR3	23692	57007
ACKR4	CCR11	1611	51554
ACKR4	VSHK1	1611	51554
ACKR4	CCX-CKR	1611	51554
ACKR4	PPR1	1611	51554
ACKR4	ACKR4	1611	51554
ACKR4P1	dJ509I19.4	21142	285737
ACKR4P1	CCRL1P	21142	285737
ACKR4P1	CCRL1P1	21142	285737
ACKR4P1	ACKR4P1	21142	285737
ACLY	ATPCL	115	47
ACLY	CLATP	115	47
ACLY	ACL	115	47
ACLY	ACLY	115	47
ACMSD	ACMSD	19288	130013
ACNATP	BAATP1	34504	347275
ACNATP	ACNATP	34504	347275
ACO1	IRP1	117	48
ACO1	IREBP	117	48
ACO1	IREB1	117	48
ACO1	ACO1	117	48
ACO2	ACONM	118	50
ACO2	ACO2	118	50
ACOD1	IRG1	33904	730249
ACOD1	ACOD1	33904	730249
ACOT1	ACH2	33128	641371
ACOT1	CTE-1	33128	641371
ACOT1	LACH2	33128	641371
ACOT1	ACOT1	33128	641371
ACOT11	STARD14	18156	26027
ACOT11	BFIT	18156	26027
ACOT11	KIAA0707	18156	26027
ACOT11	BFIT1	18156	26027
ACOT11	THEM1	18156	26027
ACOT11	THEA	18156	26027
ACOT11	ACOT11	18156	26027
ACOT12	Cach	24436	134526
ACOT12	THEAL	24436	134526
ACOT12	STARD15	24436	134526
ACOT12	ACOT12	24436	134526
ACOT13	HT012	20999	55856
ACOT13	THEM2	20999	55856
ACOT13	ACOT13	20999	55856
ACOT2	Mte1	18431	10965
ACOT2	ZAP128	18431	10965
ACOT2	ACOT2	18431	10965
ACOT4	FLJ31235	19748	122970
ACOT4	PTE-Ib	19748	122970
ACOT4	PTE2B	19748	122970
ACOT4	ACOT4	19748	122970
ACOT6	C14orf42	33159	641372
ACOT6	ACOT6	33159	641372
ACOT7	BACH	24157	11332
ACOT7	ACH1	24157	11332
ACOT7	CTE-II	24157	11332
ACOT7	LACH1	24157	11332
ACOT7	MGC1126	24157	11332
ACOT7	hBACH	24157	11332
ACOT7	ACOT7	24157	11332
ACOT8	hACTE-III	15919	10005
ACOT8	hTE	15919	10005
ACOT8	PTE-2	15919	10005
ACOT8	PTE1	15919	10005
ACOT8	ACOT8	15919	10005
ACOT9	CGI-16	17152	23597
ACOT9	MT-ACT48	17152	23597
ACOT9	ACATE2	17152	23597
ACOT9	ACOT9	17152	23597
ACOX1	PALMCOX	119	51
ACOX1	ACOX1	119	51
ACOX2	BRCACOX	120	8309
ACOX2	BRCOX	120	8309
ACOX2	THCCox	120	8309
ACOX2	ACOX2	120	8309
ACOX3	ACOX3	121	8310
ACOXL	FLJ11042	25621	55289
ACOXL	ACOXL	25621	55289
ACOXL-AS1	ACOXL-AS1	41112	400997
ACP1	HAAP	122	52
ACP1	LMW-PTP	122	52
ACP1	LMWPTP	122	52
ACP1	ACP1	122	52
ACP2	ACP2	123	53
ACP3	ACP-3	125	55
ACP3	TM-PAP	125	55
ACP3	ACPP	125	55
ACP3	ACP3	125	55
ACP4	ACPT	14376	93650
ACP4	ACP4	14376	93650
ACP5	HPAP	124	54
ACP5	ACP5	124	54
ACP6	ACPL1	29609	51205
ACP6	ACP6	29609	51205
ACP7	FLJ16165	33781	390928
ACP7	PAPL1	33781	390928
ACP7	PAPL	33781	390928
ACP7	ACP7	33781	390928
ACR	ACR	126	49
ACRBP	SP32	17195	84519
ACRBP	OY-TES-1	17195	84519
ACRBP	CT23	17195	84519
ACRBP	ACRBP	17195	84519
ACRP1	ACRP1	54745	645529
ACRV1	SPACA2	127	56
ACRV1	SP-10	127	56
ACRV1	D11S4365	127	56
ACRV1	ACRV1	127	56
ACSBG1	BGM	29567	23205
ACSBG1	FLJ30320	29567	23205
ACSBG1	MGC14352	29567	23205
ACSBG1	BG1	29567	23205
ACSBG1	KIAA0631	29567	23205
ACSBG1	hBG1	29567	23205
ACSBG1	hsBG	29567	23205
ACSBG1	ACSBG1	29567	23205
ACSBG2	BGR	24174	81616
ACSBG2	PRTD-NY3	24174	81616
ACSBG2	DKFZp434K1635	24174	81616
ACSBG2	ACSBG2	24174	81616
ACSF2	FLJ20920	26101	80221
ACSF2	ACSMW	26101	80221
ACSF2	ACSF2	26101	80221
ACSF3	ACSF3	27288	197322
ACSL1	LACS	3569	2180
ACSL1	ACS1	3569	2180
ACSL1	LACS1	3569	2180
ACSL1	FACL1	3569	2180
ACSL1	FACL2	3569	2180
ACSL1	ACSL1	3569	2180
ACSL3	PRO2194	3570	2181
ACSL3	FACL3	3570	2181
ACSL3	ACSL3	3570	2181
ACSL3-AS1	ACSL3-AS1	40227	105373904
ACSL4	ACS4	3571	2182
ACSL4	LACS4	3571	2182
ACSL4	FACL4	3571	2182
ACSL4	MRX63	3571	2182
ACSL4	MRX68	3571	2182
ACSL4	ACSL4	3571	2182
ACSL5	ACS5	16526	51703
ACSL5	FACL5	16526	51703
ACSL5	ACSL5	16526	51703
ACSL6	KIAA0837	16496	23305
ACSL6	LACS5	16496	23305
ACSL6	FACL6	16496	23305
ACSL6	ACSL6	16496	23305
ACSL6-AS1	ACSL6-AS1	40772	101927693
ACSM1	MACS1	18049	116285
ACSM1	BUCS1	18049	116285
ACSM1	ACSM1	18049	116285
ACSM2A	A-923A4.1	32017	123876
ACSM2A	MGC150530	32017	123876
ACSM2A	ACSM2A	32017	123876
ACSM2B	HXMA	30931	348158
ACSM2B	HYST1046	30931	348158
ACSM2B	ACSM2B	30931	348158
ACSM3	SAH	10522	6296
ACSM3	ACSM3	10522	6296
ACSM4	ACSM4	32016	341392
ACSM5	FLJ20581	26060	54988
ACSM5	ACSM5	26060	54988
ACSM5P1	ACSM5P1	51295	100421779
ACSM6	bA310E22.3	31665	142827
ACSM6	C10orf129	31665	142827
ACSM6	ACSM6	31665	142827
ACSS1	dJ568C11.3	16091	84532
ACSS1	AceCS2L	16091	84532
ACSS1	MGC33843	16091	84532
ACSS1	ACAS2L	16091	84532
ACSS1	ACSS1	16091	84532
ACSS2	ACSA	15814	55902
ACSS2	AceCS	15814	55902
ACSS2	dJ1161H23.1	15814	55902
ACSS2	ACAS2	15814	55902
ACSS2	ACSS2	15814	55902
ACSS3	FLJ21963	24723	79611
ACSS3	ACSS3	24723	79611
ACTA1	NEM3	129	58
ACTA1	ACTA	129	58
ACTA1	ACTA1	129	58
ACTA2	ACTSA	130	59
ACTA2	ACTA2	130	59
ACTA2-AS1	uc001kfo.1	45169	100132116
ACTA2-AS1	ZXF1	45169	100132116
