SYMBOL	ALIAS	HGNC	ENTREZ
RASGRF1	PP13187	9875	5923
RASGRF1	GRF1	9875	5923
RASGRF1	RASGRF1	9875	5923
RASGRF2	Ras-GRF2	9876	5924
RASGRF2	RASGRF2	9876	5924
RASGRF2-AS1	CTC-459I6.1	40499	102524628
RASGRF2-AS1	RASGRF2-AS1	40499	102524628
RASGRP1	CalDAG-GEFII	9878	10125
RASGRP1	RASGRP	9878	10125
RASGRP1	RASGRP1	9878	10125
RASGRP2	CALDAG-GEFI	9879	10235
RASGRP2	RASGRP2	9879	10235
RASGRP3	KIAA0846	14545	25780
RASGRP3	GRP3	14545	25780
RASGRP3	CalDAG-GEFIII	14545	25780
RASGRP3	RASGRP3	14545	25780
RASGRP3-AS1	RASGRP3-AS1	40689	105374454
RASGRP4	RASGRP4	18958	115727
RASIP1	FLJ20401	24716	54922
RASIP1	RAIN	24716	54922
RASIP1	RASIP1	24716	54922
RASL10A	RRP22	16954	10633
RASL10A	RASL10A	16954	10633
RASL10B	VTS58635	30295	91608
RASL10B	RASL10B	30295	91608
RASL11A	RASL11A	23802	387496
RASL11B	RASL11B	23804	65997
RASL12	RIS	30289	51285
RASL12	RASL12	30289	51285
RASSF1	NORE2A	9882	11186
RASSF1	REH3P21	9882	11186
RASSF1	RDA32	9882	11186
RASSF1	123F2	9882	11186
RASSF1	RASSF1	9882	11186
RASSF1-AS1	ANRASSF1	49091	102060282
RASSF1-AS1	RASSF1-AS1	49091	102060282
RASSF10	RASSF10	33984	644943
RASSF10-DT	LINC02738	54255	105376557
RASSF10-DT	RASSF10-DT	54255	105376557
RASSF2	KIAA0168	9883	9770
RASSF2	CENP-34	9883	9770
RASSF2	RASSF2	9883	9770
RASSF3	RASSF3	14271	283349
RASSF4	AD037	20793	83937
RASSF4	MGC44914	20793	83937
RASSF4	RASSF4	20793	83937
RASSF5	Maxp1	17609	83593
RASSF5	NORE1	17609	83593
RASSF5	RAPL	17609	83593
RASSF5	RASSF5	17609	83593
RASSF6	RASSF6	20796	166824
RASSF7	HRC1	1166	8045
RASSF7	FAP88	1166	8045
RASSF7	CFAP88	1166	8045
RASSF7	C11orf13	1166	8045
RASSF7	RASSF7	1166	8045
RASSF8	HoJ-1	13232	11228
RASSF8	C12orf2	13232	11228
RASSF8	RASSF8	13232	11228
RASSF8-AS1	RASSF8-AS1	48637	100506451
RASSF9	P-CIP1	15739	9182
RASSF9	PAMCI	15739	9182
RASSF9	RASSF9	15739	9182
RAVER1	KIAA1978	30296	125950
RAVER1	RAVER1	30296	125950
RAVER2	KIAA1579	25577	55225
RAVER2	FLJ10770	25577	55225
RAVER2	RAVER2	25577	55225
RAX	RX	18662	30062
RAX	RAX	18662	30062
RAX2	MGC15631	18286	84839
RAX2	ARMD6	18286	84839
RAX2	CORD11	18286	84839
RAX2	RAXL1	18286	84839
RAX2	RAX2	18286	84839
RB1	RB	9884	5925
RB1	PPP1R130	9884	5925
RB1	OSRC	9884	5925
RB1	RB1	9884	5925
RB1-DT	ncRNA-RB1	42778	100862704
RB1-DT	LINC00441	42778	100862704
RB1-DT	RB1-DT	42778	100862704
RB1CC1	KIAA0203	15574	9821
RB1CC1	Cc1	15574	9821
RB1CC1	DRAGOU14	15574	9821
RB1CC1	FIP200	15574	9821
RB1CC1	ATG17	15574	9821
RB1CC1	PPP1R131	15574	9821
RB1CC1	RB1CC1	15574	9821
RBAK	ZNF769	17680	57786
RBAK	RBAK	17680	57786
RBAK-RBAKDN	RBAK-RBAKDN	42971	100533952
RBAKDN	RBAKDN	33770	389458
RBBP4	RbAp48	9887	5928
RBBP4	NURF55	9887	5928
RBBP4	lin-53	9887	5928
RBBP4	RBBP4	9887	5928
RBBP4P1	RBBP4P1	42368	642954
RBBP4P2	RBBP4P2	42369	100420527
RBBP4P3	RBBP4P3	42370	730180
